الله اكبَرُ,Allah Maha Besar
كبيرًا,sebesar-besarnya
والحَمْدُ لله,Dan puji-pujian bagi Allah
كَثِيْرًا,sebanyak-banyaknya
وَسُبْحَانَ الله,Dan Maha Suci Allah
بُكْرَةً,siang
وَاَصِيلْاً,dan malam
وَجَّهْتُ,Ku hadapkan
وجهيَ,mukaku
لِلَّذِي,kepada yang
َفَطَر,menjadikan
ِالسَّمَاوَات,langit
والارض,dan bumi
حَنِيْفًا,Aku berpegang teguh
مُسْلِمًا,lagi berserah
وما انا,dan tidak aku
من المشركين,dari (golongan) yang menyekutukan (Allah)
انَّ,Sesungguhnya
صلاتي,solatku
ْوَنُسُكِي,dan ibadahku
َومَحْيَاي,dan hidupku
ومَمَاتِي,dan matiku
للهِ,(kuserahkan hanya) kepada Allah
رب العالمين,Tuhan semesta Allah
لا,(sekali-kali) tidak
شريك له,(sebarang) sekutu bagiNya
وبذَالك,dan dengan itulah
أُمِرْتُ,aku diperintahkan
واناْ من,dan aku (adalah) antara
المسلمين,(golongan) orang-orang Islam
