بِسْمِ,Dengan nama
الله,Allah
الرحمان,(yang) Maha Pemurah
الرحيم,(lagi) Maha Penyayang
الحمد,Puji-pujian
لِله,bagi Allah
ربِّ,Tuhan (Pencipta & Pemelihara)
العالمين,semesta alam
الرحمان,Maha Pemurah
الرحيم,Maha Penyayang
مالك,Pemilik (Penguasa)
يوم,hari
الدين,Agama (pembalasan)
اياك,kami sembah
نعبد,Hanya Engkau
وإياك,Dan hanya Engkau
نستعين,kami mohon pertolongan
إهدنا,Tunjukkanlah kami
الصراط,jalan
المستقيم,(yang) lurus
صراط,Jalan
الذين,(orang-orang) yang
أنعمْتَ,telah Engkau beri nikmat
عليهم,ke atas mereka
غير,bukan
المغضوب,orang yang dimurkai
عليهم,ke atas mereka
ولا,dan bukan
الضآلين,orang-orang yang sesat
