التّحيّات,Ucapan selamat
الْمُبارَكاتُ,yang diberkati
الصّلواتُ,(dan) doa-doa
الطّيِّبات,yang baik
لِلَّه,untuk Allah
السَّلامُ,salam sejahtera
عليك,ke atas kamu
أيُّها,wahai
النَّبيُّ,Nabi
ُورَحْمة,dan Rahmat
اللَّه,Allah (ke atas kamu)
وبراكاته,dan keberkatanNya
السَّلامُ,salam sejahtera
عليْنا,ke atas kami
َوعَلى,dan ke atas
عبادِ,hamba-hamba
اللَّه,Allah (ke atas kamu)
الصَّالحِين,yang soleh
أشهد أن لاَإِله إلاَّ اللَّه,Aku bersaksi bahawa tiada Tuhan melainkan Allah
و أشهد أنَّ محمَّداً راسول اللَّه,dan aku bersaksi bahawa Nabi Muhammad itu utusan Allah
اللَّهمَّ صلِّ على سيِّدنا محمَّد,Wahai Allah! Anugerahkanlah kesejahteraan ke atas (Nabi) Muhammad
وعلى آل سيِّدنا محمَّد,dan ke atas keluarga (Nabi) Muhammad
