اللَّهُمَّ اهْدِنىْ,Ya Allah! Berilah petunjuk kepadaku
ْفِيْمَن,sebagaimana orang-orang
هدَيْتَ,Engkau telah memberi petunjuk (kepada mereka)
وعافنىِ,dan sihatkanlah aku
ْفِيْمَن,sebagaimana orang-orang
عافيْتَ,Engkau telah memberi kesihatan (kepada mereka)
وتولَّنىْ,dan pimpinlah aku
ْفِيْمَن,sebagaimana orang-orang
تولَّيْتَ,Engkau telah memimpin (mereka)
وبارك لِىْ,dan berkatilah untukku
فيما,pada apa
اعطيْتَ,yang (Engkau) telah berikan
وقِنيِ,dan peliharakanlah aku
بِرَحْمَتِكَ,dengan rahmatMu
شرَّما,yang (daripada) kejahatan
قَضَيْتَ,telah Engkau tetapkan
فَإنَّك,Sesungguhnya Engkau
تقْضىْ,(menetapkan) sesuatu perkara
ولا يُقْضىَ,dan tidak ditetapkan sesuatu perkara
عليك,ke atas Engkau
وإنَّه,dan sesungguhnya Engkau
ْلايذِلُّ مَن,tidak menghina orang
وَالَيْتَ,(yang) memperoleh pimpinan Mu
ولا يَعِزُّ مَنْ,dan tidak memuliakan orang
عادَيْتَ,(yang) Engkau musuhi
تباركْتَ ربَّنا,Maha Suci Engkau Tuhan kami
وتَعاليْتَ,Dan Engkau Maha Tinggi
فلكَ الْحَمدُ,Maka bagi Engkau puji-pujian
عَلى,ke atas
ماقضَيْتَ,apa (yang) Engkau telah tetapkan
وَأََسْتَغْفِرُكَ,aku memohon keampunan kepadaMu
وَأتُوبُ إلَيْكَ,dan aku bertaubat kepadaMu
وصلَّى اللَّه على سيِّدنا محمَّد,Selawat dan salam Engkau ya Allah ke atas junjungan kami (Nabi) Muhammad
وعلى آلهِ وصَحْبِهِ وسلَّم,dan juga ke atas kaum keluarga dan para sahabatnya
